,Area,BHK,Bathroom,Furnishing,Locality,Price
187,1450.0,3,3.0,Semi-Furnished,J R Designers,11500000
188,445.0,2,2.0,Semi-Furnished,J R Designers,2800000
189,380.0,1,1.0,Semi-Furnished,J R Designers,2200000
190,680.0,2,2.0,Semi-Furnished,J R Designers,4400000
191,1600.0,3,3.0,Semi-Furnished,J R Designers,13500000
192,630.0,2,2.0,Semi-Furnished,J R Designers,4100000
193,1500.0,3,2.0,Semi-Furnished,J R Designers,12000000
194,550.0,2,2.0,Semi-Furnished,J R Designers,3500000
195,2500.0,4,3.0,Semi-Furnished,J R Designers,15000000
196,2800.0,5,4.0,Semi-Furnished,J R Designers,17500000
197,300.0,1,1.0,Semi-Furnished,J R Designers,1900000
198,800.0,3,2.0,Semi-Furnished,J R Designers,5500000
199,1295.0,3,2.0,Semi-Furnished,J R Designers,10000000
200,700.0,3,2.0,Semi-Furnished,J R Designers,4700000
201,350.0,1,1.0,Semi-Furnished,J R Designers,2400000
202,450.0,2,2.0,Semi-Furnished,J R Designers,3800000
203,2200.0,4,4.0,Semi-Furnished,J R Designers,23000000
204,2300.0,4,4.0,Semi-Furnished,J R Designers,24500000
205,1150.0,3,2.0,Semi-Furnished,J R Designers,10000000
206,800.0,3,2.0,Semi-Furnished,J R Designers,5500000
207,850.0,3,2.0,Semi-Furnished,J R Designers,7000000
208,720.0,3,2.0,Semi-Furnished,J R Designers,6500000
209,4688.0,5,4.0,Unfurnished,The Leela Sky,135000000
210,750.0,2,2.0,Semi-Furnished,J R Designers,5000000
211,3901.0,4,4.0,Unfurnished,The Leela Sky,93000000
212,950.0,3,2.0,Furnished,other,4370000
213,1000.0,3,2.0,Unfurnished,other,4620000
214,850.0,2,1.0,Semi-Furnished,other,1900000
215,2400.0,4,4.0,Semi-Furnished,other,70000000
216,1350.0,3,2.0,Unfurnished,other,5130000
217,540.0,2,2.0,Semi-Furnished,other,3000000
218,1387.0,4,4.0,Unfurnished,other,5890000
219,540.0,2,2.0,Semi-Furnished,other,3300000
220,976.0,2,2.0,Furnished,Godrej South Estate,24900000
221,1050.0,3,2.0,Unfurnished,other,3700000
222,2700.0,4,3.0,Semi-Furnished,other,60000000
223,1500.0,3,2.0,Unfurnished,other,17400000
224,2900.0,5,5.0,Furnished,other,51000000
225,5025.0,5,6.0,Unfurnished,Greater Kailash,170000000
226,1000.0,3,2.0,Semi-Furnished,other,5510000
227,1135.0,3,3.0,Furnished,The Amaryllis Karol,25000000
228,2306.0,3,3.0,Unfurnished,The Leela Sky,57000000
229,850.0,2,2.0,Semi-Furnished,other,2940000
230,1200.0,3,3.0,Semi-Furnished,other,15500000
231,1700.0,3,2.0,Semi-Furnished,other,17200000
232,1800.0,4,3.0,Semi-Furnished,other,55000000
233,1100.0,2,2.0,Semi-Furnished,Vasant Kunj,15000000
234,22050.0,4,4.0,Semi-Furnished,Greater Kailash,51000000
235,1550.0,4,3.0,Semi-Furnished,Rohini Sector,13000000
236,1600.0,3,3.0,Semi-Furnished,Greater Kailash,30000000
237,700.0,2,2.0,Semi-Furnished,other,2400000
238,45.0,4,3.0,Unfurnished,other,5500000
239,3510.0,4,4.0,Semi-Furnished,other,45000000
240,4500.0,4,4.0,Semi-Furnished,New Friends Colony,60000000
241,1800.0,4,4.0,Semi-Furnished,New Friends Colony,65000000
242,6000.0,5,5.0,Semi-Furnished,Maharani Bagh New,220000000
243,4300.0,4,4.0,Unfurnished,New Friends Colony,60000000
244,1700.0,3,3.0,Semi-Furnished,other,38500000
245,2500.0,3,3.0,Semi-Furnished,Maharani Bagh New,50000000
246,4500.0,4,4.0,Semi-Furnished,New Friends Colony,75000000
247,2450.0,4,4.0,Furnished,other,70000000
248,10350.0,4,7.0,Semi-Furnished,Maharani Bagh New,160000000
249,4800.0,3,4.0,Semi-Furnished,Maharani Bagh New,85000000
250,1600.0,3,3.0,Semi-Furnished,New Friends Colony,40000000
251,3500.0,4,4.0,Unfurnished,New Friends Colony,90000000
252,2100.0,4,5.0,Semi-Furnished,New Friends Colony,56000000
253,4200.0,5,5.0,Semi-Furnished,other,135500000
254,1500.0,3,3.0,Semi-Furnished,New Friends Colony,60000000
255,8150.0,4,5.0,Unfurnished,Maharani Bagh New,170000000
256,2200.0,4,4.0,Semi-Furnished,other,50000000
257,3500.0,4,5.0,Semi-Furnished,New Friends Colony,58000000
258,2070.0,3,3.0,Semi-Furnished,other,37500000
259,3500.0,3,3.0,Unfurnished,Maharani Bagh New,45000000
260,2000.0,4,4.0,Semi-Furnished,New Friends Colony,70000000
261,2800.0,6,4.0,Semi-Furnished,other,29500000
262,2550.0,4,4.0,Unfurnished,New Friends Colony,60000000
263,4500.0,4,4.0,Semi-Furnished,New Friends Colony,70000000
264,1400.0,3,3.0,Semi-Furnished,New Friends Colony,50000000
265,2800.0,4,5.0,Semi-Furnished,New Friends Colony,75000000
266,2700.0,4,4.0,Semi-Furnished,New Friends Colony,52500000
267,4500.0,4,4.0,Semi-Furnished,New Friends Colony,55000000
268,7200.0,4,4.0,Semi-Furnished,Maharani Bagh New,120000000
269,2799.0,4,4.0,Semi-Furnished,Kailash Colony Greater,65000000
270,2650.0,4,4.0,Unfurnished,Kailash Colony Greater,75000000
271,2200.0,4,4.0,Semi-Furnished,Kailash Colony Greater,47500000
272,3500.0,5,5.0,Semi-Furnished,Kailash Colony Greater,70000000
273,2200.0,4,4.0,Semi-Furnished,Kailash Colony Greater,47500000
274,2200.0,4,4.0,Semi-Furnished,Kailash Colony Greater,40000000
275,3500.0,4,4.0,Semi-Furnished,Kailash Colony Greater,85000000
276,1440.0,3,3.0,Semi-Furnished,Kailash Colony Greater,26000000
277,3150.0,4,4.0,Semi-Furnished,Kailash Colony Greater,35000000
278,900.0,2,2.0,Semi-Furnished,Kailash Colony Greater,20000000
279,3690.0,4,5.0,Semi-Furnished,Kailash Colony Greater,79000000
280,1200.0,3,2.0,Semi-Furnished,Kailash Colony Greater,17000000
281,4500.0,4,4.0,Semi-Furnished,Kailash Colony Greater,47500000
282,2799.0,4,4.0,Semi-Furnished,Kailash Colony Greater,43000000
283,1350.0,3,3.0,Unfurnished,Kailash Colony Greater,26000000
284,1200.0,3,3.0,Unfurnished,Kailash Colony Greater,25000000
285,2177.0,4,5.0,Semi-Furnished,Kailash Colony Greater,51000000
286,1500.0,3,3.0,Semi-Furnished,Kailash Colony Greater,40000000
287,1600.0,3,3.0,Unfurnished,Kailash Colony Greater,22500000
288,4500.0,4,4.0,Semi-Furnished,Kailash Colony Greater,70000000
289,2150.0,4,4.0,Unfurnished,Kailash Colony Greater,45000000
290,2107.0,4,4.0,Semi-Furnished,Kailash Colony Greater,51100000
291,1150.0,3,3.0,Semi-Furnished,Kailash Colony Greater,25500000
292,1240.0,3,3.0,Unfurnished,Kailash Colony Greater,26500000
293,1000.0,2,2.0,Unfurnished,Kailash Colony Greater,15000000
294,4500.0,4,4.0,Semi-Furnished,Kailash Colony Greater,55000000
295,1150.0,3,3.0,Semi-Furnished,Kailash Colony Greater,26000000
296,2000.0,4,4.0,Semi-Furnished,Kailash Colony Greater,38000000
297,4500.0,4,5.0,Semi-Furnished,Kailash Colony Greater,72500000
298,3000.0,4,5.0,Semi-Furnished,Kailash Colony Greater,65000000
299,700.0,2,2.0,Unfurnished,other,4600000
300,750.0,2,2.0,Semi-Furnished,other,9200000
301,1350.0,4,3.0,Unfurnished,other,9500000
302,900.0,2,2.0,Semi-Furnished,other,4500000
303,970.0,3,2.0,Semi-Furnished,other,6500000
304,1000.0,3,2.0,Furnished,other,5650000
305,1425.0,3,3.0,Semi-Furnished,other,9300000
306,440.0,2,2.0,Unfurnished,Shahdara,2700000
307,1017.0,2,2.0,Furnished,other,6500000
308,650.0,2,2.0,Semi-Furnished,other,5800000
309,950.0,3,2.0,Semi-Furnished,Shahdara,5500000
310,810.0,3,2.0,Semi-Furnished,Yamuna Vihar Shahdara,6000000
311,750.0,2,2.0,Unfurnished,other,4500000
312,990.0,2,2.0,Semi-Furnished,Shahdara,4100000
313,800.0,3,2.0,Semi-Furnished,other,3800000
314,675.0,2,1.0,Unfurnished,Shahdara,3300000
315,558.0,2,1.0,Unfurnished,other,2900000
316,445.0,2,1.0,Unfurnished,other,2000000
317,360.0,2,1.0,Unfurnished,other,1550000
318,1350.0,4,3.0,Semi-Furnished,other,11300000
319,850.0,3,2.0,Semi-Furnished,other,4500000
320,846.0,2,1.0,Unfurnished,other,3300000
321,1300.0,4,3.0,Furnished,other,11500000
322,900.0,3,2.0,Semi-Furnished,other,6000000
323,1050.0,3,2.0,Semi-Furnished,other,9000000
324,850.0,2,2.0,Furnished,other,4500000
325,1650.0,4,3.0,Furnished,Shahdara,14000000
326,1150.0,2,2.0,Semi-Furnished,other,7300000
327,495.1394,1,1.0,Furnished,Shahdara,1900000
328,1053.0,3,2.0,Furnished,other,7000000
329,810.0,3,2.0,Semi-Furnished,Yamuna Vihar Shahdara,6000000
330,750.0,1,2.0,Semi-Furnished,Yamuna Vihar Shahdara,6400000
331,540.0,2,1.0,Furnished,Yamuna Vihar Shahdara,2700000
332,747.0,2,2.0,Furnished,Yamuna Vihar Shahdara,6500000
333,720.0,2,1.0,Unfurnished,Yamuna Vihar Shahdara,4000000
334,376.7365,1,1.0,Semi-Furnished,Yamuna Vihar Shahdara,3000000
335,1125.0,2,2.0,Unfurnished,Yamuna Vihar Shahdara,5000000
336,713.0,2,2.0,Semi-Furnished,Yamuna Vihar Shahdara,6000000
337,360.0,1,1.0,Unfurnished,Yamuna Vihar Shahdara,2500000
338,900.0,2,2.0,Semi-Furnished,Yamuna Vihar Shahdara,6500000
339,713.0,3,1.0,Unfurnished,Yamuna Vihar Shahdara,8000000
340,504.0,2,1.0,Furnished,Yamuna Vihar Shahdara,2700000
341,70.0,1,2.0,Unfurnished,Yamuna Vihar Shahdara,4500000
342,850.0,3,2.0,Furnished,Yamuna Vihar Shahdara,5700000
343,2430.0,4,3.0,Furnished,Yamuna Vihar Shahdara,25000000
344,2475.0,3,3.0,Furnished,Yamuna Vihar Shahdara,70000000
345,2970.0,7,4.0,Furnished,Yamuna Vihar Shahdara,26500000
346,2250.0,3,2.0,Furnished,Yamuna Vihar Shahdara,18500000
347,1500.0,5,3.0,Furnished,Yamuna Vihar Shahdara,30000000
348,1512.0,2,2.0,Furnished,Yamuna Vihar Shahdara,22000000
349,400.0,2,2.0,Furnished,other,9000000
350,2160.0,3,3.0,Furnished,Yamuna Vihar Shahdara,65000000
351,630.0,3,2.0,Furnished,Yamuna Vihar Shahdara,22500000
352,324.0,6,3.0,Furnished,Yamuna Vihar Shahdara,8700000
353,720.0,6,5.0,Furnished,Yamuna Vihar Shahdara,22000000
354,675.0,4,2.0,Furnished,Yamuna Vihar Shahdara,18500000
355,700.0,2,1.0,Furnished,Yamuna Vihar Shahdara,16000000
356,675.0,4,3.0,Furnished,Yamuna Vihar Shahdara,16000000
357,720.0,4,2.0,Furnished,Yamuna Vihar Shahdara,9000000
358,850.0,2,2.0,Furnished,other,4500000
359,801.0,3,2.0,Semi-Furnished,Laxmi Nagar,6000000
360,450.0,1,2.0,Unfurnished,Laxmi Nagar,2700000
361,1000.0,3,2.0,Unfurnished,Laxmi Nagar,6500000
362,990.0,3,2.0,Unfurnished,Laxmi Nagar,4000000
363,420.0,2,1.0,Semi-Furnished,Laxmi Nagar,2600000
364,450.0,2,1.0,Semi-Furnished,Laxmi Nagar,3500000
365,1000.0,2,2.0,Unfurnished,Laxmi Nagar,7500000
366,900.0,3,2.0,Semi-Furnished,Laxmi Nagar,7000000
367,800.0,3,2.0,Semi-Furnished,Laxmi Nagar,4500000
368,720.0,3,3.0,Semi-Furnished,Laxmi Nagar,5500000
369,450.0,2,1.0,Semi-Furnished,Laxmi Nagar,2700000
370,675.0,2,2.0,Furnished,Laxmi Nagar,2400000
371,1700.0,4,3.0,Unfurnished,Laxmi Nagar,11500000
372,550.0,2,2.0,Unfurnished,other,3600000
373,387.0,1,2.0,Unfurnished,other,1700000
374,450.0,2,1.0,Unfurnished,other,2500000
375,900.0,4,2.0,Furnished,Laxmi Nagar,6600000
376,500.0,2,1.0,Semi-Furnished,Laxmi Nagar,3700000
377,441.0,2,1.0,Unfurnished,other,3500000
378,800.0,3,2.0,Semi-Furnished,other,5400000
379,450.0,2,2.0,Semi-Furnished,other,2550000
380,1000.0,3,3.0,Furnished,other,12500000
381,715.0,2,2.0,Unfurnished,Laxmi Nagar,5600000
382,600.0,2,2.0,Unfurnished,Laxmi Nagar,7000000
383,540.0,2,1.0,Unfurnished,Laxmi Nagar,3500000
384,312.0,4,4.0,Furnished,other,35000000
385,810.0,3,2.0,Semi-Furnished,Laxmi Nagar,9000000
386,270.0,1,1.0,Semi-Furnished,other,2300000
387,900.0,3,2.0,Semi-Furnished,Laxmi Nagar,6000000
388,1000.0,3,2.0,Unfurnished,Laxmi Nagar,6000000
389,540.0,2,2.0,Semi-Furnished,Uttam Nagar,2650000
390,950.0,3,2.0,Furnished,other,4370000
391,1000.0,3,2.0,Unfurnished,other,4620000
392,540.0,2,2.0,Semi-Furnished,other,3000000
393,540.0,2,2.0,Semi-Furnished,other,3300000
394,1000.0,3,2.0,Semi-Furnished,other,5510000
395,500.0,2,2.0,Semi-Furnished,other,3200000
396,540.0,2,2.0,Semi-Furnished,other,2600000
397,780.0,3,2.0,Semi-Furnished,Uttam Nagar,4000000
398,450.0,2,1.0,Semi-Furnished,other,1850000
399,360.0,1,1.0,Semi-Furnished,Uttam Nagar,1700000
400,900.0,3,2.0,Semi-Furnished,other,2800000
401,495.0,2,2.0,Semi-Furnished,other,2150000
402,1200.0,4,3.0,Semi-Furnished,other,6800000
403,1000.0,3,2.0,Semi-Furnished,Uttam Nagar,6200000
404,620.0,2,2.0,Semi-Furnished,Uttam Nagar,3100000
405,680.0,3,2.0,Semi-Furnished,other,3400000
406,805.0,2,2.0,Unfurnished,other,4000000
407,729.0,2,2.0,Semi-Furnished,other,4800000
408,540.0,2,2.0,Semi-Furnished,Uttam Nagar,2500000
409,360.0,1,1.0,Semi-Furnished,Uttam Nagar,2000000
410,550.0,2,2.0,Semi-Furnished,other,1900000
411,1001.0,3,2.0,Furnished,other,5800000
412,450.0,2,2.0,Unfurnished,other,2900000
413,550.0,2,1.0,Semi-Furnished,other,2000000
414,550.0,2,2.0,Semi-Furnished,other,2600000
415,675.0,2,1.0,Unfurnished,Uttam Nagar,2900000
416,585.0,2,2.0,Unfurnished,Uttam Nagar,3200000
417,810.0,3,2.0,Semi-Furnished,other,5400000
418,765.0,3,2.0,Semi-Furnished,other,3800000
419,4688.0,5,4.0,Unfurnished,The Leela Sky,135000000
420,3901.0,4,4.0,Unfurnished,The Leela Sky,93000000
421,70.0,2,3.0,Furnished,other,8200000
422,800.0,3,2.0,Unfurnished,Patel Nagar West,8000000
423,900.0,3,2.0,Semi-Furnished,Patel Nagar West,9500000
424,1680.0,4,5.0,Semi-Furnished,Patel Nagar West,20000000
425,900.0,2,2.0,Furnished,Patel Nagar West,7400000
426,2000.0,3,3.0,Semi-Furnished,Patel Nagar East,37500000
427,2000.0,4,4.0,Semi-Furnished,Patel Nagar West,15000000
428,1900.0,3,3.0,Semi-Furnished,The Leela Sky,55300000
429,1530.0,3,3.0,Semi-Furnished,Patel Nagar East,26500000
430,100.0,3,2.0,Semi-Furnished,Patel Nagar East,16000000
431,900.0,3,2.0,Furnished,Patel Nagar West,10400000
432,270.0,1,1.0,Unfurnished,Patel Nagar West,1700000
433,950.0,2,2.0,Semi-Furnished,Patel Nagar West,8000000
434,1800.0,3,3.0,Semi-Furnished,Patel Nagar East,27000000
435,1500.0,3,3.0,Semi-Furnished,Patel Nagar West,19500000
436,1800.0,3,3.0,Furnished,Patel Nagar East,50000000
437,1800.0,3,3.0,Unfurnished,Patel Nagar West,21100000
